,substrate_id,substrate_smiles,condition,Normalized MALDI Pdt/IS,EIC(+)[M+H] Product Area
192,amine193,CC(C)S(=O)(=O)N1CCNCC1,Cu,0.34,1273672.6
193,amine194,C(c1ccccc1)c2nnc3CNCCn23,Cu,0.02,144294.2
194,amine195,O=C1CNCC2N1CCc3ccccc23,Cu,0.11,1369079.1
195,amine196,CC1(C)CNCc2nnc(n12)C(F)(F)F,Cu,0.02,447037.7
196,amine197,C1CO[C@H](CN1)c2ccccc2,Cu,0.54,3173998.5
197,amine198,CC(C)(C)NC(=O)c1nnc2CNCCn12,Cu,0.34,1491103.6
198,amine199,O=C1OC2(CCNCC2)c3ccccc13,Cu,0.47,2218193.2
199,amine200,CC(C)c1nnc2CNCCn12,Cu,0.2,414597.8
200,amine201,C1CN(CCN1)c2cccs2,Cu,0.15,2515393.3
201,amine202,CC1(C)CN2CCNCC2c3ccccc13,Cu,1.76,4399355.3
202,amine203,CCc1ncc2CNCCn12,Cu,0.9,1657253.8
203,amine204,CC(C)c1ncc2CNCCn12,Cu,0.73,1614398.4
204,amine205,CCOC(=O)C1CNCc2ccccc12,Cu,0.36,1827240.8
205,amine206,CC(C)(O)C1CCCNC1,Cu,0.97,3178420.7
206,amine207,CN(C)CC1(O)CCNCC1,Cu,0.92,2839717.8
207,amine208,C1Cn2ncnc2CN1,Cu,0.02,126938.5
208,amine209,C([C@@H]1COCCN1)c2ccccc2,Cu,0.0,1200.4
209,amine210,C(OC1CCNCC1)c2ccccn2,Cu,0.86,3160726.0
210,amine211,C(Cc1ccccn1)C2CCCCN2,Cu,0.32,1775576.5
211,amine212,C1NCC2C1C2c3ccccc3,Cu,1.32,4474979.8
212,amine213,C1NCC2COCC1O2,Cu,0.83,2788240.2
213,amine214,C(Cc1cccs1)C2CCCCN2,Cu,0.33,2251478.8
214,amine215,CN1CCN[C@H](C1)c2ccccc2,Cu,0.04,743168.3
215,amine216,C1COC2CCNCC2C1,Cu,0.54,2377925.8
216,amine217,FC(F)(F)COC1CCCNC1,Cu,0.4,3680468.7
217,amine218,CC(C)(C)OC(=O)n1cc(CC2CCCCN2)c3ccccc13,Cu,0.02,912512.3
218,amine219,Cc1c(C)c(c(C)c2CCC(C)(C)Oc12)S(=O)(=O)NC(=N)NCC3CCCNC3,Cu,0.55,2113604.7
219,amine220,O=C(OCc1ccccc1)N2CC3CC2CN3,Cu,0.57,1803429.4
220,amine221,C(N1CC2CCC1CN2)c3ccccc3,Cu,1.09,3486053.9
221,amine222,C1Cc2c(CN1)snc2Nc3ccccc3,Cu,0.21,2147833.6
222,amine223,Fc1ccc(cc1)N2CCCN(C3CCNCC3)S2(=O)=O,Cu,0.49,2839753.2
223,amine224,FC(F)(F)c1ccc(Oc2cccc(C=C3CCNCC3)c2)nc1,Cu,0.88,4138398.4
224,amine225,CC(C)(C)OC(=O)\N=C/1\NC2(CCNCC2)C(=O)N1c3ccccc3F,Cu,0.0,2151.3
225,amine226,C1Cc2c(CN1)snc2Nc3ccccn3,Cu,0.25,1612221.1
226,amine227,[R]\N=C/1\NC2(CCCNC2)C(=O)N1[R],Cu,0.0,515.3
227,amine228,O=C1N[C@@H]2CNCC[C@@H]2N1C3CCCC3,Cu,0.71,1976430.1
228,amine229,CC(C)C1=CC(=O)N2CCNCC2=N1,Cu,0.01,2263.2
229,amine230,CN1[C@H]2CCNC[C@H]2N(C1=O)c3ccncc3,Cu,1.36,2646264.1
230,amine231,CCC1=CC(=O)N2CCNCC2=N1,Cu,0.0,7462.9
231,amine232,[R]C1=CC(=O)N2CCNCC2=N1,Cu,0.0,985.5
232,amine233,O=C1C=C(N=C2CNCCN12)c3ccccn3,Cu,0.0,1075.0
233,amine234,[R]C1=CC(=O)N2CCNCC2=N1,Cu,0.01,3332.2
234,amine235,CN1[C@@H]2CNCC[C@@H]2N(C)C1=O,Cu,0.74,2162925.2
235,amine236,[R]OC1=NOC2(CCNCC2)C1,Cu,0.18,2008351.8
236,amine237,[R]N1C(=O)OC(C2CCNCC2)c3ccccc13,Cu,0.92,3015537.3
237,amine238,[R]NC(=O)C1=NOC2(CCNCC2)C1,Cu,0.64,2306973.2
238,amine239,[R]OC(=O)c1nnn(C2CCNCC2)c1[R],Cu,0.05,1367825.4
239,amine240,[R]\N=C/1\NC([R])C(=O)N1C2CCNCC2,Cu,0.01,367178.1
240,amine241,[O-][N+](=O)c1ccc(cc1)S(=O)(=O)NC(COc2ccccc2)CN3CCNCC3,Cu,0.3,2890474.5
241,amine242,CC(CN1CCNCC1)NS(=O)(=O)c2ccccc2[N+](=O)[O-],Cu,0.34,2725877.2
242,amine243,COC1=NO[C@@]2(C)CCNC[C@@H]12,Cu,0.01,55073.5
243,amine244,O=C1OC2(CCC3(CC2)OCCO3)C4CNCCN14,Cu,0.64,2292556.0
244,amine245,COC(=O)[C@@H]1CNC[C@@H](C1)c2cccc(c2)C(F)(F)F,Cu,0.37,25866.2
245,amine246,CN1OC[C@@H]2CNCC[C@]12c3ccccc3,Cu,0.41,1848803.8
246,amine247,[R]NC(=O)c1nnn([R])c1C2CCNCC2,Cu,0.91,3262587.1
247,amine248,[R]N([R])C(=O)c1nnn([R])c1C2CCNCC2,Cu,0.96,2980870.9
248,amine249,[R]NC(=O)c1nnn([R])c1C2CCNCC2,Cu,0.93,3512993.4
249,amine250,[R]NC(=O)c1nnn([R])c1C2CCNCC2,Cu,0.91,3321199.4
250,amine251,COC(=O)C1CN(CCN1)c2ccc3ccccc3c2,Cu,0.01,15573.6
251,amine252,FC(F)(C(=O)N1CCNCC1)c2ccccc2,Cu,0.09,349123.2
252,amine253,[R]Nc1nc2c(O[R])cccc2c3nc(nn13)C4CCCNC4,Cu,0.16,1505379.9
253,amine254,[R]N1C(=O)OC(C2CCNCC2)c3ccccc13,Cu,0.08,235606.7
254,amine255,[R]N1C(=O)CCCC12CCNCC2,Cu,0.26,2331776.1
255,amine256,CN1CC[C@@H]2CNCC[C@H]12,Cu,0.68,3075899.8
256,amine257,[R]C(=O)NC1CCN(C)C2(CCNCC2)C1,Cu,0.73,1738017.6
257,amine258,[R]C(=O)NC1CCN(C)C2(CCNCC2)C1,Cu,0.7,1351653.9
258,amine259,[R]NC(=O)NC1CCN(C)C2(CCNCC2)C1,Cu,0.57,1508564.9
259,amine260,[R]NC(=O)NC1CCN(C)C2(CCNCC2)C1,Cu,0.9,1352019.9
260,amine261,[R]S(=O)(=O)NC1CCN(C)C2(CCNCC2)C1,Cu,0.0,2073469.0
261,amine262,C1CN(CCN1)c2ccccc2,Cu,0.9,3742468.4
262,amine263,O=CN1CCNCC1,Cu,0.44,2008973.4
263,amine264,CCOC(=O)N1CCNCC1,Cu,0.84,3311370.8
264,amine265,CN1CCNCC1,Cu,0.45,3167632.8
265,amine266,CC(C)NC(=O)CN1CCNCC1,Cu,0.36,3502466.4
266,amine267,C1CSCCN1,Cu,0.63,3379318.9
267,amine268,C1CC2(CCN1)OCCO2,Cu,0.62,1783481.2
268,amine269,CC1CCCCN1,Cu,0.14,1301954.4
269,amine270,CCN(CC)C(=O)C1CCCNC1,Cu,1.04,3576090.1
270,amine271,CC1CCCNC1,Cu,0.69,3584297.3
271,amine272,OC1CCNCC1,Cu,0.89,3013135.8
272,amine273,CCOC(=O)C1CCNCC1,Cu,0.75,3061623.0
273,amine274,CC1CCNCC1,Cu,0.77,3713916.0
274,amine275,C(C1CCNCC1)c2ccccc2,Cu,0.8,2857570.2
275,amine276,O=C(CN1CCNCC1)N2CCOCC2,Cu,0.73,3175170.7
276,amine277,C1Cc2ccccc2CN1,Cu,0.71,3300207.0
277,amine278,CC1CNCCN1c2ccccc2,Cu,0.29,3277726.0
278,amine279,CN(C)C1CCNCC1,Cu,1.05,2959132.4
279,amine280,Cc1cccc(C)c1N2CCNCC2,Cu,0.59,3510813.7
280,amine281,C1CN(CCN1)C(c2ccccc2)c3ccccc3,Cu,0.69,4165661.9
281,amine282,CCOC(=O)CN1CCNCC1,Cu,0.14,1806510.9
282,amine283,C1CCC(CC1)N2CCNCC2,Cu,1.03,4842268.9
283,amine284,CC(=O)N1CCNCC1,Cu,0.67,2218942.2
284,amine285,CCN1CCNCC1,Cu,0.66,3445910.1
285,amine286,OC(=O)C1CCCCN1,Cu,0.15,2028629.3
286,amine287,CC(C)(C)OC(=O)N1CCNCC1,Cu,0.8,3126660.4
287,amine288,CN1CCC[C@H]1CC2CCCCN2,Cu,0.02,21000.1
288,amine289,CN(C)CCCN1CCNCC1,Cu,0.69,3441327.5
289,amine290,C(C1CCCCN1)N2CCCCC2,Cu,0.08,1228344.4
290,amine291,CCN(CC)CCN1CCNCC1,Cu,0.55,3126737.6
291,amine292,COC(=O)C1CCNCC1,Cu,0.4,2205185.2
292,amine293,CC(C)CN1CCNCC1,Cu,0.56,3970775.2
293,amine294,Fc1cccc2c3CNCCc3[nH]c12,Cu,0.53,3024936.8
294,amine295,C1CCC(NC1)c2ccccc2,Cu,0.06,1112671.9
295,amine296,C1Cc2c([nH]c3ccccc23)C(N1)c4ccccc4,Cu,0.12,1389569.4
296,amine297,C1CC(CCN1)c2cc(n[nH]2)c3occc3,Cu,1.86,4029566.1
297,amine298,C1CNCC(C1)c2ccccc2,Cu,0.94,5201798.5
298,amine299,O=C(N1CCNCC1)c2ccccc2,Cu,0.67,2614306.6
