,substrate_id,substrate_smiles,condition,Normalized MALDI Pdt/IS,EIC(+)[M+H] Product Area
0,bromide1,Brc1ccccn1,Cu,0.38,3708143.6
1,bromide2,Brc1cccnc1,Cu,0.57,3638314.0
2,bromide3,Brc1cncnc1,Cu,0.27,2126466.4
3,bromide4,Cn1cccc1Br,Cu,0.02,0.0
4,bromide5,Cn1cc(Br)cn1,Cu,0.02,2568431.5
5,bromide6,Cn1cnc(Br)c1,Cu,0.01,25816.9
6,bromide7,Cc1[nH]cnc1Br,Cu,0.01,28342.1
7,bromide8,Cc1n[nH]cc1Br,Cu,0.06,1574072.4
8,bromide9,Cc1nc(Br)n[nH]1,Cu,0.03,400901.2
9,bromide10,Cn1cc(Br)nn1,Cu,0.11,2567235.1
10,bromide11,Cc1onc(Br)n1,Cu,0.06,1522809.9
11,bromide12,Cn1nnnc1Br,Cu,0.42,3661415.9
12,bromide13,Brc1cccs1,Cu,0.11,363963.6
13,bromide14,Brc1ccsc1,Cu,0.04,2993712.4
14,bromide15,Brc1cnsc1,Cu,0.07,1496799.8
15,bromide16,Brc1cscn1,Cu,0.03,863580.4
16,bromide17,Brc1cnsn1,Cu,0.09,115127.7
17,bromide18,Cc1cc(Br)ccn1,Cu,3.08,5381332.0
18,bromide19,Cc1cccc(Br)n1,Cu,0.53,4772898.5
19,bromide20,Cc1ncccc1Br,Cu,0.09,3214337.1
20,bromide21,Cc1ncc(Br)cn1,Cu,0.03,1411.1
21,bromide22,Cc1nccnc1Br,Cu,0.06,3421963.4
22,bromide23,BrC1=CNC(=O)C=C1,Cu,0.01,298101.3
23,bromide24,Oc1cccc(Br)n1,Cu,0.02,161176.3
24,bromide25,Oc1ncccc1Br,Cu,0.1,2494583.3
25,bromide26,Brc1c[nH]c(C=O)c1,Cu,0.01,95755.8
26,bromide27,Brc1nc[nH]c1C=O,Cu,0.06,615094.4
27,bromide28,Brc1cc(on1)C=O,Cu,0.01,5500.2
28,bromide29,Cc1nsc(Br)n1,Cu,0.25,4038469.8
29,bromide30,Brc1cccnc1C#N,Cu,0.75,1867075.6
30,bromide31,Brc1ccc(C=O)nc1,Cu,0.24,2756085.3
31,bromide32,COc1cc(Br)ccn1,Cu,1.17,4362429.0
32,bromide33,COc1ccc(Br)cn1,Cu,0.04,3237357.1
33,bromide34,COc1cccc(Br)n1,Cu,0.1,3707721.9
34,bromide35,COc1ncccc1Br,Cu,0.02,3876295.6
35,bromide36,CNc1cnc(Br)cn1,Cu,0.01,46675.7
36,bromide37,[O-][N+](=O)c1n[nH]cc1Br,Cu,0.0,5496.1
37,bromide38,Brc1cnc2[nH]ccc2c1,Cu,0.56,3055407.4
38,bromide39,Brc1cnc2occc2c1,Cu,0.01,2736480.6
39,bromide40,Brc1ccc2cnnn2c1,Cu,0.18,2205571.8
40,bromide41,Brc1cnc2oncc2c1,Cu,0.0,73000.6
41,bromide42,Brc1ccn2ncnc2n1,Cu,1.07,3797812.8
42,bromide43,CC(O)c1ccc(Br)cn1,Cu,0.51,3659555.8
43,bromide44,CNC(=O)c1cc(Br)c[nH]1,Cu,0.01,25689.5
44,bromide45,COC(=O)c1cc(Br)c[nH]1,Cu,0.04,1458827.8
45,bromide46,COC(=O)c1[nH]ncc1Br,Cu,0.02,352590.5
46,bromide47,COC(=O)c1nc[nH]c1Br,Cu,0.02,272924.4
47,bromide48,CC(=O)c1cc(Br)cs1,Cu,0.39,2258817.1
48,bromide49,COC(=O)c1[nH]nnc1Br,Cu,0.0,78947.6
49,bromide50,Brc1cncc2ccccc12,Cu,1.44,4726264.1
50,bromide51,Brc1nccc2ccccc12,Cu,0.03,27938.0
51,bromide52,Brc1cc2ccccc2cn1,Cu,0.83,4241705.6
52,bromide53,Brc1ccc2ccccc2n1,Cu,1.94,6282331.5
53,bromide54,Brc1ccnc2ccccc12,Cu,0.64,1190887.6
54,bromide55,Brc1cnc2ccccc2c1,Cu,0.78,3547138.4
55,bromide56,Brc1cnc2ncccc2c1,Cu,1.16,3879440.1
56,bromide57,Brc1cnc2CCCCc2c1,Cu,1.19,4893741.8
57,bromide58,FC(F)(F)c1n[nH]cc1Br,Cu,0.0,36123.1
58,bromide59,CNC(=O)c1ccc(Br)cn1,Cu,0.62,3276148.6
59,bromide60,CC(=O)Nc1ccc(Br)cn1,Cu,0.9,3866169.0
60,bromide61,CC(C)Nc1cc(Br)ccn1,Cu,1.7,5633532.4
61,bromide62,COC(=O)c1ncccc1Br,Cu,0.34,1129950.7
62,bromide63,COC(=O)c1cc(Br)ccn1,Cu,1.23,2745423.3
63,bromide64,COC(=O)c1ccc(Br)cn1,Cu,0.67,2937039.1
64,bromide65,O[C@H](Cn1cc(Br)cn1)C=C,Cu,0.03,1915917.7
65,bromide66,Brc1noc(n1)c2ccccc2,Cu,0.01,10156.0
66,bromide67,Brc1ccccc1c2nnn[nH]2,Cu,0.29,1817488.5
67,bromide68,OC(=O)CCc1ccc(Br)nc1,Cu,0.76,2547673.1
68,bromide69,COc1cc(Br)cnc1C(=O)O,Cu,0.02,259330.6
69,bromide70,OC(=O)CNc1ccnc(Br)n1,Cu,0.84,2043612.7
70,bromide71,COc1ccc(Br)nc1[N+](=O)[O-],Cu,0.01,696169.3
71,bromide72,Brc1cccc(n1)c2ccccc2,Cu,0.75,3673278.4
72,bromide73,Brc1ccc(nc1)c2cccnc2,Cu,1.35,4376748.4
73,bromide74,CS(=O)(=O)c1ccc(Br)cn1,Cu,0.17,2939335.4
74,bromide75,CCOC(=O)c1csc(Br)n1,Cu,0.59,4421177.1
