,electrophile,nucleophile,catalyst,base,miser_area_count,max,relative_count
83,e2,n13,AdBrettPhos Pd G3 45,BEMP 27,335.0,1428.0000001,0.23459383751858584
82,e2,n13,AdBrettPhos Pd G3 45,BTMG 26,348.0,1428.0000001,0.24369747897453098
84,e2,n13,AdBrettPhos Pd G3 45,BTTP 28,349.0,1428.0000001,0.24439775908652675
80,e2,n13,AdBrettPhos Pd G3 45,DBU 24,334.0,1428.0000001,0.23389355740659007
81,e2,n13,AdBrettPhos Pd G3 45,MTBD 25,338.0,1428.0000001,0.23669467785457318
85,e2,n13,AdBrettPhos Pd G3 45,P1-t-octyl S17,339.0,1428.0000001,0.23739495796656895
87,e2,n13,AdBrettPhos Pd G3 45,P2-t-Bu S18,349.0,1428.0000001,0.24439775908652675
86,e2,n13,AdBrettPhos Pd G3 45,P2Et 29,798.0,1428.0000001,0.5588235293726314
91,e2,n13,DTBPF Pd G3 38,BEMP 27,337.0,1428.0000001,0.2359943977425774
90,e2,n13,DTBPF Pd G3 38,BTMG 26,333.0,1428.0000001,0.2331932772945943
92,e2,n13,DTBPF Pd G3 38,BTTP 28,328.0,1428.0000001,0.2296918767346154
88,e2,n13,DTBPF Pd G3 38,DBU 24,349.0,1428.0000001,0.24439775908652675
89,e2,n13,DTBPF Pd G3 38,MTBD 25,340.0,1428.0000001,0.23809523807856475
93,e2,n13,DTBPF Pd G3 38,P1-t-octyl S17,343.0,1428.0000001,0.2401960784145521
95,e2,n13,DTBPF Pd G3 38,P2-t-Bu S18,334.0,1428.0000001,0.23389355740659007
94,e2,n13,DTBPF Pd G3 38,P2Et 29,329.0,1428.0000001,0.23039215684661118
75,e2,n13,RockPhos Pd G3 44,BEMP 27,347.0,1428.0000001,0.2429971988625352
74,e2,n13,RockPhos Pd G3 44,BTMG 26,336.0,1428.0000001,0.23529411763058164
76,e2,n13,RockPhos Pd G3 44,BTTP 28,341.0,1428.0000001,0.23879551819056052
72,e2,n13,RockPhos Pd G3 44,DBU 24,337.0,1428.0000001,0.2359943977425774
73,e2,n13,RockPhos Pd G3 44,MTBD 25,346.0,1428.0000001,0.2422969187505394
77,e2,n13,RockPhos Pd G3 44,P1-t-octyl S17,341.0,1428.0000001,0.23879551819056052
79,e2,n13,RockPhos Pd G3 44,P2-t-Bu S18,343.0,1428.0000001,0.2401960784145521
78,e2,n13,RockPhos Pd G3 44,P2Et 29,833.0,1428.0000001,0.5833333332924836
51,e2,n13,Xphos Pd G3 36,BEMP 27,328.0,1428.0000001,0.2296918767346154
50,e2,n13,Xphos Pd G3 36,BTMG 26,333.0,1428.0000001,0.2331932772945943
52,e2,n13,Xphos Pd G3 36,BTTP 28,344.0,1428.0000001,0.24089635852654787
48,e2,n13,Xphos Pd G3 36,DBU 24,286.0,1428.0000001,0.2002801120307927
49,e2,n13,Xphos Pd G3 36,MTBD 25,304.0,1428.0000001,0.2128851540467167
53,e2,n13,Xphos Pd G3 36,P1-t-octyl S17,343.0,1428.0000001,0.2401960784145521
55,e2,n13,Xphos Pd G3 36,P2-t-Bu S18,345.0,1428.0000001,0.24159663863854364
54,e2,n13,Xphos Pd G3 36,P2Et 29,352.0,1428.0000001,0.2464985994225141
67,e2,n13,tBuBrettPhos Pd G3 43,BEMP 27,345.0,1428.0000001,0.24159663863854364
66,e2,n13,tBuBrettPhos Pd G3 43,BTMG 26,340.0,1428.0000001,0.23809523807856475
68,e2,n13,tBuBrettPhos Pd G3 43,BTTP 28,354.0,1428.0000001,0.24789915964650563
64,e2,n13,tBuBrettPhos Pd G3 43,DBU 24,347.0,1428.0000001,0.2429971988625352
65,e2,n13,tBuBrettPhos Pd G3 43,MTBD 25,339.0,1428.0000001,0.23739495796656895
69,e2,n13,tBuBrettPhos Pd G3 43,P1-t-octyl S17,336.0,1428.0000001,0.23529411763058164
71,e2,n13,tBuBrettPhos Pd G3 43,P2-t-Bu S18,335.0,1428.0000001,0.23459383751858584
