,electrophile_id,ligand_name,yield
0,s1,A-paPhos,87.13
1,s1,CX-FBu,6.37
2,s1,CX-PCy,71.75
3,s1,Cy-BippyPhos,64.52
4,s1,Cy-JohnPhos,80.44
5,s1,Cy-PhenCar-Phos,83.28
6,s1,Cy-vBRIDP,69.3
7,s1,Kwong,72.88
8,s1,MeO-KITPHOS,75.61
9,s1,MePhos,56.11
10,s1,PCy3 HBF4,2.31
11,s1,Ph-DavePhos,53.8
12,s1,Ph-SPhos,86.96
13,s1,Ph-XPhos,3.73
14,s1,PMe3 HBF4,0.0
15,s1,P(o-Anis)3,11.34
16,s1,P(p-Anis)3,87.97
17,s1,P(p-F-Ph)3,85.3
18,s1,PPh2Cy,88.21
19,s1,PPh3,85.47
20,s1,PPhtBu2,0.0
21,s1,PXy3,88.35
22,s1,VPhos,16.8
23,s2,A-paPhos,79.28999999999999
24,s2,CX-FBu,15.445
25,s2,CX-PCy,54.59
26,s2,Cy-BippyPhos,51.53
27,s2,Cy-JohnPhos,45.43
28,s2,Cy-PhenCar-Phos,42.96
29,s2,Cy-vBRIDP,17.955
30,s2,Kwong,28.16
31,s2,MeO-KITPHOS,21.91
32,s2,MePhos,21.46
33,s2,PCy3 HBF4,6.875
34,s2,Ph-DavePhos,55.045
35,s2,Ph-SPhos,60.475
36,s2,Ph-XPhos,26.49
37,s2,PMe3 HBF4,15.61
38,s2,P(o-Anis)3,31.745
39,s2,P(p-Anis)3,71.46000000000001
40,s2,P(p-F-Ph)3,79.36500000000001
41,s2,PPh2Cy,47.935
42,s2,PPh3,79.22
43,s2,PPhtBu2,10.215
44,s2,PXy3,73.02000000000001
45,s2,VPhos,16.745
46,s3,A-paPhos,37.855
47,s3,CX-FBu,21.645
48,s3,CX-PCy,44.27
49,s3,Cy-BippyPhos,27.755000000000003
50,s3,Cy-JohnPhos,41.010000000000005
51,s3,Cy-PhenCar-Phos,47.48
52,s3,Cy-vBRIDP,18.49
53,s3,Kwong,26.96
54,s3,MeO-KITPHOS,44.805
55,s3,MePhos,21.425
56,s3,PCy3 HBF4,8.635
57,s3,Ph-DavePhos,47.105
58,s3,Ph-SPhos,30.915
59,s3,Ph-XPhos,31.32
60,s3,PMe3 HBF4,3.345
61,s3,P(o-Anis)3,19.0
62,s3,P(p-Anis)3,44.3
63,s3,P(p-F-Ph)3,37.195
64,s3,PPh2Cy,53.45
65,s3,PPh3,34.66
66,s3,PPhtBu2,3.075
67,s3,PXy3,48.645
68,s3,VPhos,28.635
69,s4,A-paPhos,0.54
70,s4,CX-FBu,5.13
71,s4,CX-PCy,0.41
72,s4,Cy-BippyPhos,0.28
73,s4,Cy-JohnPhos,0.28
74,s4,Cy-PhenCar-Phos,3.43
75,s4,Cy-vBRIDP,0.0
76,s4,Kwong,0.54
77,s4,MeO-KITPHOS,1.07
78,s4,MePhos,0.15
79,s4,PCy3 HBF4,0.67
80,s4,Ph-DavePhos,0.67
81,s4,Ph-SPhos,4.47
82,s4,Ph-XPhos,0.0
83,s4,PMe3 HBF4,7.75
84,s4,P(o-Anis)3,1.2
85,s4,P(p-Anis)3,0.94
86,s4,P(p-F-Ph)3,0.54
87,s4,PPh2Cy,14.7
88,s4,PPh3,0.15
89,s4,PPhtBu2,0.0
90,s4,PXy3,0.0
91,s4,VPhos,0.0
92,s5,A-paPhos,76.785
93,s5,CX-FBu,0.415
94,s5,CX-PCy,0.1
95,s5,Cy-BippyPhos,0.0
96,s5,Cy-JohnPhos,17.419999999999998
97,s5,Cy-PhenCar-Phos,0.0
98,s5,Cy-vBRIDP,27.34
99,s5,Kwong,0.0
100,s5,MeO-KITPHOS,9.71
101,s5,MePhos,6.715
102,s5,PCy3 HBF4,17.104999999999997
103,s5,Ph-DavePhos,4.825
104,s5,Ph-SPhos,0.0999999999999999
105,s5,Ph-XPhos,0.0
106,s5,PMe3 HBF4,0.0
107,s5,P(o-Anis)3,0.89
108,s5,P(p-Anis)3,75.525
109,s5,P(p-F-Ph)3,53.8
110,s5,PPh2Cy,78.205
111,s5,PPh3,69.855
112,s5,PPhtBu2,0.0
113,s5,PXy3,75.365
114,s5,VPhos,0.0
115,s6,A-paPhos,76.91
116,s6,CX-FBu,15.25
117,s6,CX-PCy,62.870000000000005
118,s6,Cy-BippyPhos,18.43
119,s6,Cy-JohnPhos,78.93
120,s6,Cy-PhenCar-Phos,13.765
121,s6,Cy-vBRIDP,69.275
122,s6,Kwong,12.420000000000002
123,s6,MeO-KITPHOS,65.875
124,s6,MePhos,49.72
125,s6,PCy3 HBF4,54.25
126,s6,Ph-DavePhos,29.18
127,s6,Ph-SPhos,47.105
128,s6,Ph-XPhos,23.950000000000003
129,s6,PMe3 HBF4,4.955
130,s6,P(o-Anis)3,46.22
131,s6,P(p-Anis)3,77.655
132,s6,P(p-F-Ph)3,60.79
133,s6,PPh2Cy,68.53
134,s6,PPh3,68.245
135,s6,PPhtBu2,4.955
136,s6,PXy3,76.77
137,s6,VPhos,11.535
138,s7,A-paPhos,29.35
139,s7,CX-FBu,20.02
140,s7,CX-PCy,6.03
141,s7,Cy-BippyPhos,29.35
142,s7,Cy-JohnPhos,75.98
143,s7,Cy-PhenCar-Phos,57.33
144,s7,Cy-vBRIDP,61.99
145,s7,Kwong,24.68
146,s7,MeO-KITPHOS,34.01
147,s7,MePhos,61.99
148,s7,PCy3 HBF4,6.03
149,s7,Ph-DavePhos,66.65
150,s7,Ph-SPhos,66.65
151,s7,Ph-XPhos,24.68
152,s7,PMe3 HBF4,24.68
153,s7,P(o-Anis)3,10.69
154,s7,P(p-Anis)3,57.33
155,s7,P(p-F-Ph)3,48.0
156,s7,PPh2Cy,48.0
157,s7,PPh3,1.37
158,s7,PPhtBu2,6.03
159,s7,PXy3,20.02
160,s7,VPhos,6.03
161,s8,A-paPhos,64.0
162,s8,CX-FBu,37.555
