,electrophile_id,ligand_name,yield
0,s1,A-paPhos,88.86
1,s1,CX-FBu,54.07
2,s1,CX-PCy,74.99
3,s1,Cy-BippyPhos,82.92
4,s1,Cy-JohnPhos,80.25
5,s1,Cy-PhenCar-Phos,76.65
6,s1,Cy-vBRIDP,53.73
7,s1,Kwong,81.83
8,s1,MeO-KITPHOS,86.58
9,s1,MePhos,42.08
10,s1,PCy3 HBF4,12.16
11,s1,Ph-DavePhos,81.79
12,s1,Ph-SPhos,18.23
13,s1,Ph-XPhos,6.73
14,s1,PMe3 HBF4,0.82
15,s1,P(o-Anis)3,30.4
16,s1,P(p-Anis)3,88.21
17,s1,P(p-F-Ph)3,87.76
18,s1,PPh2Cy,89.66
19,s1,PPh3,17.72
20,s1,PPhtBu2,0.0
21,s1,PXy3,19.74
22,s1,VPhos,5.66
23,s2,A-paPhos,48.175
24,s2,CX-FBu,22.925
25,s2,CX-PCy,70.33500000000001
26,s2,Cy-BippyPhos,73.775
27,s2,Cy-JohnPhos,55.42
28,s2,Cy-PhenCar-Phos,56.34
29,s2,Cy-vBRIDP,23.12
30,s2,Kwong,52.120000000000005
31,s2,MeO-KITPHOS,46.78
32,s2,MePhos,15.305
33,s2,PCy3 HBF4,26.43
34,s2,Ph-DavePhos,69.875
35,s2,Ph-SPhos,58.855
36,s2,Ph-XPhos,13.31
37,s2,PMe3 HBF4,19.16
38,s2,P(o-Anis)3,38.27
39,s2,P(p-Anis)3,53.74
40,s2,P(p-F-Ph)3,78.965
41,s2,PPh2Cy,42.605
42,s2,PPh3,68.275
43,s2,PPhtBu2,14.195
44,s2,PXy3,59.515
45,s2,VPhos,27.11
46,s3,A-paPhos,33.379999999999995
47,s3,CX-FBu,26.045
48,s3,CX-PCy,52.0
49,s3,Cy-BippyPhos,55.345
50,s3,Cy-JohnPhos,36.195
51,s3,Cy-PhenCar-Phos,49.33
52,s3,Cy-vBRIDP,7.33
53,s3,Kwong,28.095
54,s3,MeO-KITPHOS,59.38
55,s3,MePhos,9.8
56,s3,PCy3 HBF4,10.41
57,s3,Ph-DavePhos,48.265
58,s3,Ph-SPhos,25.57
59,s3,Ph-XPhos,20.18
60,s3,PMe3 HBF4,2.295
61,s3,P(o-Anis)3,34.845
62,s3,P(p-Anis)3,33.7
63,s3,P(p-F-Ph)3,39.205
64,s3,PPh2Cy,59.825
65,s3,PPh3,30.635
66,s3,PPhtBu2,2.335
67,s3,PXy3,20.04
68,s3,VPhos,16.439999999999998
69,s4,A-paPhos,2.64
70,s4,CX-FBu,6.7
71,s4,CX-PCy,1.46
72,s4,Cy-BippyPhos,4.34
73,s4,Cy-JohnPhos,2.77
74,s4,Cy-PhenCar-Phos,8.8
75,s4,Cy-vBRIDP,0.54
76,s4,Kwong,1.07
77,s4,MeO-KITPHOS,3.43
78,s4,MePhos,0.8
79,s4,PCy3 HBF4,1.46
80,s4,Ph-DavePhos,5.92
81,s4,Ph-SPhos,10.76
82,s4,Ph-XPhos,1.46
83,s4,PMe3 HBF4,8.41
84,s4,P(o-Anis)3,2.11
85,s4,P(p-Anis)3,2.38
86,s4,P(p-F-Ph)3,1.2
87,s4,PPh2Cy,9.19
88,s4,PPh3,1.98
89,s4,PPhtBu2,1.98
90,s4,PXy3,2.38
91,s4,VPhos,2.9
92,s5,A-paPhos,52.38
93,s5,CX-FBu,0.0
94,s5,CX-PCy,0.0
95,s5,Cy-BippyPhos,0.0
96,s5,Cy-JohnPhos,2.935
97,s5,Cy-PhenCar-Phos,0.0
98,s5,Cy-vBRIDP,3.25
99,s5,Kwong,0.0
100,s5,MeO-KITPHOS,1.515
101,s5,MePhos,0.255
102,s5,PCy3 HBF4,6.24
103,s5,Ph-DavePhos,0.255
104,s5,Ph-SPhos,0.0
105,s5,Ph-XPhos,0.0
106,s5,PMe3 HBF4,0.0
107,s5,P(o-Anis)3,0.0
108,s5,P(p-Anis)3,51.59
109,s5,P(p-F-Ph)3,56.475
110,s5,PPh2Cy,50.485
111,s5,PPh3,52.69
112,s5,PPhtBu2,0.0
113,s5,PXy3,51.115
114,s5,VPhos,0.0
115,s6,A-paPhos,75.67
116,s6,CX-FBu,19.915
117,s6,CX-PCy,39.75
118,s6,Cy-BippyPhos,20.06
119,s6,Cy-JohnPhos,69.095
120,s6,Cy-PhenCar-Phos,17.189999999999998
121,s6,Cy-vBRIDP,75.105
122,s6,Kwong,24.97
123,s6,MeO-KITPHOS,63.435
124,s6,MePhos,48.235
125,s6,PCy3 HBF4,47.39
126,s6,Ph-DavePhos,24.37
127,s6,Ph-SPhos,42.58
128,s6,Ph-XPhos,17.83
129,s6,PMe3 HBF4,9.59
130,s6,P(o-Anis)3,71.285
131,s6,P(p-Anis)3,77.475
132,s6,P(p-F-Ph)3,45.905
133,s6,PPh2Cy,41.375
134,s6,PPh3,62.625
135,s6,PPhtBu2,8.245000000000001
136,s6,PXy3,77.9
137,s6,VPhos,12.88
138,s7,A-paPhos,29.35
139,s7,CX-FBu,24.68
140,s7,CX-PCy,20.02
141,s7,Cy-BippyPhos,61.99
142,s7,Cy-JohnPhos,80.64
143,s7,Cy-PhenCar-Phos,71.32
144,s7,Cy-vBRIDP,34.01
145,s7,Kwong,43.34
146,s7,MeO-KITPHOS,61.99
147,s7,MePhos,38.67
148,s7,PCy3 HBF4,10.69
149,s7,Ph-DavePhos,100.0
150,s7,Ph-SPhos,100.0
151,s7,Ph-XPhos,24.68
152,s7,PMe3 HBF4,20.02
153,s7,P(o-Anis)3,15.36
154,s7,P(p-Anis)3,52.66
155,s7,P(p-F-Ph)3,57.33
156,s7,PPh2Cy,48.0
157,s7,PPh3,20.02
158,s7,PPhtBu2,6.03
159,s7,PXy3,24.68
160,s7,VPhos,24.68
161,s8,A-paPhos,49.265
162,s8,CX-FBu,50.265
163,s8,CX-PCy,85.59
164,s8,Cy-BippyPhos,84.28999999999999
165,s8,Cy-JohnPhos,88.245
166,s8,Cy-PhenCar-Phos,96.055
167,s8,Cy-vBRIDP,76.685
168,s8,Kwong,84.445
169,s8,MeO-KITPHOS,80.39
170,s8,MePhos,77.735
171,s8,PCy3 HBF4,24.44
172,s8,Ph-DavePhos,71.235
173,s8,Ph-SPhos,58.22
174,s8,Ph-XPhos,46.71
175,s8,PMe3 HBF4,45.260000000000005
176,s8,P(o-Anis)3,73.005
177,s8,P(p-Anis)3,70.03
178,s8,P(p-F-Ph)3,79.765
179,s8,PPh2Cy,90.27
180,s8,PPh3,45.260000000000005
181,s8,PPhtBu2,45.835
182,s8,PXy3,48.44
183,s8,VPhos,38.905
184,s9,A-paPhos,44.52
185,s9,CX-FBu,46.935
