,base_name,fluoride_name,substrate_name,base_smiles,fluoride_smiles,substrate_smiles,yield
480,DBU,3-Cl,s25,N12CCCN=C1CCCCC2,ClC1=CC=C(S(=O)(F)=O)C=C1,C=CC(O)(C)CC/C=C(C)\C,0
481,DBU,PyFluor,s25,N12CCCN=C1CCCCC2,O=S(C1=CC=CC=N1)(F)=O,C=CC(O)(C)CC/C=C(C)\C,1
482,DBU,3-CF3,s25,N12CCCN=C1CCCCC2,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,C=CC(O)(C)CC/C=C(C)\C,1
483,DBU,3-NO2,s25,N12CCCN=C1CCCCC2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,C=CC(O)(C)CC/C=C(C)\C,2
484,DBU,PBSF,s25,N12CCCN=C1CCCCC2,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,C=CC(O)(C)CC/C=C(C)\C,6
485,MTBD,3-Cl,s25,CN1CCCN2CCCN=C21,ClC1=CC=C(S(=O)(F)=O)C=C1,C=CC(O)(C)CC/C=C(C)\C,0
486,MTBD,PyFluor,s25,CN1CCCN2CCCN=C21,O=S(C1=CC=CC=N1)(F)=O,C=CC(O)(C)CC/C=C(C)\C,1
487,MTBD,3-CF3,s25,CN1CCCN2CCCN=C21,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,C=CC(O)(C)CC/C=C(C)\C,1
488,MTBD,3-NO2,s25,CN1CCCN2CCCN=C21,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,C=CC(O)(C)CC/C=C(C)\C,2
489,MTBD,PBSF,s25,CN1CCCN2CCCN=C21,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,C=CC(O)(C)CC/C=C(C)\C,9
490,BTMG,3-Cl,s25,CN(C)/C(N(C)C)=N/C(C)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,C=CC(O)(C)CC/C=C(C)\C,0
491,BTMG,PyFluor,s25,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=CC=N1)(F)=O,C=CC(O)(C)CC/C=C(C)\C,0
492,BTMG,3-CF3,s25,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,C=CC(O)(C)CC/C=C(C)\C,0
493,BTMG,3-NO2,s25,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,C=CC(O)(C)CC/C=C(C)\C,0
494,BTMG,PBSF,s25,CN(C)/C(N(C)C)=N/C(C)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,C=CC(O)(C)CC/C=C(C)\C,7
495,BTPP,3-Cl,s25,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,C=CC(O)(C)CC/C=C(C)\C,0
496,BTPP,PyFluor,s25,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=CC=N1)(F)=O,C=CC(O)(C)CC/C=C(C)\C,0
497,BTPP,3-CF3,s25,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,C=CC(O)(C)CC/C=C(C)\C,0
