index,base_SMILES,fluoride_SMILES,substrate_SMILES,yield
1,N12CCCN=C1CCCCC2,ClC1=CC=C(S(=O)(F)=O)C=C1,OCCCCC1=CC=CC=C1,42
2,N12CCCN=C1CCCCC2,O=S(C1=CC=CC=N1)(F)=O,OCCCCC1=CC=CC=C1,48
3,N12CCCN=C1CCCCC2,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,OCCCCC1=CC=CC=C1,47
4,N12CCCN=C1CCCCC2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,OCCCCC1=CC=CC=C1,52
5,N12CCCN=C1CCCCC2,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,OCCCCC1=CC=CC=C1,52
6,CN1CCCN2CCCN=C21,ClC1=CC=C(S(=O)(F)=O)C=C1,OCCCCC1=CC=CC=C1,76
7,CN1CCCN2CCCN=C21,O=S(C1=CC=CC=N1)(F)=O,OCCCCC1=CC=CC=C1,78
8,CN1CCCN2CCCN=C21,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,OCCCCC1=CC=CC=C1,87
9,CN1CCCN2CCCN=C21,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,OCCCCC1=CC=CC=C1,82
10,CN1CCCN2CCCN=C21,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,OCCCCC1=CC=CC=C1,80
11,CN(C)/C(N(C)C)=N/C(C)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,OCCCCC1=CC=CC=C1,78
12,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=CC=N1)(F)=O,OCCCCC1=CC=CC=C1,79
13,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,OCCCCC1=CC=CC=C1,91
14,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,OCCCCC1=CC=CC=C1,87
15,CN(C)/C(N(C)C)=N/C(C)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,OCCCCC1=CC=CC=C1,84
16,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,OCCCCC1=CC=CC=C1,87
17,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=CC=N1)(F)=O,OCCCCC1=CC=CC=C1,88
18,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,OCCCCC1=CC=CC=C1,96
19,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,OCCCCC1=CC=CC=C1,83
20,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,OCCCCC1=CC=CC=C1,94
21,N12CCCN=C1CCCCC2,ClC1=CC=C(S(=O)(F)=O)C=C1,OC(C)CCC1=CC=CC=C1,40
22,N12CCCN=C1CCCCC2,O=S(C1=CC=CC=N1)(F)=O,OC(C)CCC1=CC=CC=C1,57
23,N12CCCN=C1CCCCC2,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,OC(C)CCC1=CC=CC=C1,52
24,N12CCCN=C1CCCCC2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,OC(C)CCC1=CC=CC=C1,54
25,N12CCCN=C1CCCCC2,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,OC(C)CCC1=CC=CC=C1,39
26,CN1CCCN2CCCN=C21,ClC1=CC=C(S(=O)(F)=O)C=C1,OC(C)CCC1=CC=CC=C1,54
27,CN1CCCN2CCCN=C21,O=S(C1=CC=CC=N1)(F)=O,OC(C)CCC1=CC=CC=C1,59
28,CN1CCCN2CCCN=C21,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,OC(C)CCC1=CC=CC=C1,69
29,CN1CCCN2CCCN=C21,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,OC(C)CCC1=CC=CC=C1,63
30,CN1CCCN2CCCN=C21,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,OC(C)CCC1=CC=CC=C1,60
31,CN(C)/C(N(C)C)=N/C(C)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,OC(C)CCC1=CC=CC=C1,41
32,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=CC=N1)(F)=O,OC(C)CCC1=CC=CC=C1,49
33,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,OC(C)CCC1=CC=CC=C1,57
34,CN(C)/C(N(C)C)=N/C(C)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,OC(C)CCC1=CC=CC=C1,55
35,CN(C)/C(N(C)C)=N/C(C)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,OC(C)CCC1=CC=CC=C1,61
36,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,ClC1=CC=C(S(=O)(F)=O)C=C1,OC(C)CCC1=CC=CC=C1,42
37,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=CC=N1)(F)=O,OC(C)CCC1=CC=CC=C1,53
38,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,OC(C)CCC1=CC=CC=C1,60
39,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,OC(C)CCC1=CC=CC=C1,51
40,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,FC(C(F)(S(=O)(F)=O)F)(F)C(F)(F)C(F)(F)F,OC(C)CCC1=CC=CC=C1,65
